Frequency Report for examples
Word,Frequency
a,1
all,1
an,1
are,1
at,1
can,1
checkin,1
corect,1
dfksfjskdjfskdf,1
docmuent,1
entire,1
even,1
example,1
file,1
find,1
for,1
gibberish,1
here,1
highlight,2
if,2
is,1
it,2
know,1
liek,1
likely,1
longer,1
machine,1
much,1
non-machine,1
not,1
nothing,1
of,1
on,1
or,1
page,3
pages,1
passs,1
pdf,1
process,1
progrm,1
readable,2
search,1
speell,1
takes,1
tesst,1
tha,1
than,1
the,3
them,1
these,1
they,1
this,2
though,1
thsi,1
to,2
try,1
tseting,1
will,1
words,2
you,5
