Frequency Report of all words processed from /Users/danielwhitten/Python/PDFtoCSV/example
Word,Instances
you,9
the,7
can,4
if,4
words,4
page,4
is,3
of,3
this,3
readable,3
to,3
highlight,3
it,2
will,2
not,2
an,2
example,2
a,2
machine,2
pdf,2
file,2
search,2
for,2
these,2
find,2
them,2
on,2
try,2
thsi,1
docmuent,1
tseting,1
tha,1
speell,1
checkin,1
progrm,1
passs,1
tesst,1
corect,1
gibberish,1
liek,1
dfksfjskdjfskdf,1
non-machine,1
even,1
though,1
know,1
they,1
are,1
here,1
likely,1
entire,1
or,1
nothing,1
at,1
all,1
takes,1
much,1
longer,1
process,1
than,1
pages,1
